ade_drug_pair
"['acute on chronic rf', 'lasix']"
"['hypotension', 'digoxin']"
"['hypotension', 'diltiazem']"
"['hypotensive', 'metoprolol']"
"['hypotensive', 'diltiazem']"
"['diarrhea', 'antibiotics']"
"['drug fever', 'meropenem']"
"['drug fever', 'meropenem']"
"['liver toxicity', 'levofloxacin']"
"['hypotension', 'propofol']"
"['hypotensive', 'propofol']"
"['rash', 'ceftin']"
"['decreased cardiac function', 'pentobarbital']"
"['hemorrhage', 'coumadin']"
"['rash', 'abx']"
"['hypotension', 'keflex']"
"['febrile', 'cephalosporin']"
"['tachycardic', 'cephalosporin']"
"['hypotensive', 'cephalosporin']"
"['pruritic pink papules', 'cephalosporin']"
"['rash', 'antibiotics']"
"['rash', 'antibiotics']"
"['leukopenia', 'chemotherapy']"
"[""lft's were elevated"", 'chemotherapy']"
"['parasthesias', 'flagyl']"
"['peripheral neuropathy', 'flagyl']"
"['transient hypotension', 'propofol']"
"['hypotension', 'alpha-blocker']"
"['thrombocytopenia', 'heparin']"
"['bradycardia', 'amiodarone']"
"['bradycardia', 'digoxin']"
"['bradycardic', 'digoxin']"
"['bradycardic', 'amiodarone']"
"['low ef', 'digoxin']"
"['bradycardia', 'digoxin']"
"['toxicity', 'digoxin']"
"['bradycardia', 'digoxin']"
"['toxicity', 'digoxin']"
"['decline in his plts', 'il-2']"
"['11# weight gain attributed to capillary leak', 'il-2']"
"['vomiting', 'il-2 therapy']"
"['nausea', 'il-2 therapy']"
"['diarrhea', 'il-2 therapy']"
"['pulmonary edema', 'il-2']"
"['capillary leak syndrome', 'il-2']"
"['lft elevation', 'il-2']"
"['non-cardiogenic pulm edema', 'il-2']"
"['resp failure', 'il-2']"
"['fevers', 'il-2']"
"['capillary leak syndrome', 'il-2']"
"['nephropathy', 'contrast']"
"['elevated lfts', 'il-2']"
"['elevated lfts', 'il-2']"
"['capillary leak syndrome', 'il-2']"
"['elevated liver function tests', 'il-2']"
"['diabetes', 'steroids']"
"['upper gi bleed', 'nsaids']"
"['upper gi bleed', 'nsaid']"
"['stomach and small intestine ulcers', 'ibuprofen']"
"['heart rate was too slow', 'metoprolol']"
"['angioedema', 'lisinospril']"
"['inr was >20', 'coumadin']"
"['bradycardia', 'metoprolol']"
"['agranulocytosis', 'clozapine']"
"['toxicity', 'lithium']"
"['progressively worsening mental status', 'lithium']"
"['agitated', 'lithium']"
"['confused', 'lithium']"
"['incoherent', 'lithium']"
"['altered mental status', 'lithium']"
"['tremulous', 'lithium']"
"['toxicity', 'lithium']"
"['toxicity', 'lithium']"
"['toxicicty', 'lithium']"
"['ams', 'lithium']"
"['toxicity', 'lithium']"
"['toxicity', 'lithium']"
"['toxicity', 'lithium']"
"['toxicity', 'lithium']"
"['mental status changes', 'narcotics']"
"['altered mental status', 'hydromorphone']"
"['hypotension', 'anti-hypertensives']"
"['dark red urine', 'plavix']"
"['dark red urine', 'heparin']"
"['dark red urine', 'asa']"
"['thrombocytopenia', 'integrillin']"
"['thrombocytopenia', 'integrillin']"
"['thrombocytopenia', 'integrillin']"
"['thrombocytopenia', 'integrillin']"
"['ulcer', 'ibuprofen']"
"['ulcer', 'naproxen']"
"['acute hypercarbic respiratory failure', 'lorazepam']"
"['somnolence', 'seroquel']"
"['drowsiness', 'haldol']"
"['drowsiness', 'trazodone']"
"['lip smacking', 'haldol']"
"['lip smacking', 'trazodone']"
"['tardive dyskinesia', 'trazodone']"
"['tardive dyskinesia', 'haldol']"
"['unresponsive', 'ativan']"
"['tachycardia', 'il-2']"
"['rigors', 'il-2']"
"['fatigue', 'il-2']"
"['hypotension', 'il-2']"
"['respiratory distress', 'il-2']"
"['capillary     leak', 'il-2']"
"['bilateral pleural effusions', 'il-2']"
"['acute renal failure', 'il-2']"
"['acute renal failure', 'chemo']"
"['acute renal failure', 'carboplatin']"
"['tumor lysis syndrome', 'chemotherapy']"
"['beta blocker toxicity', 'metoprolol']"
"['leukopenia', 'chemotherapy']"
"['thrombocytopenia', 'chemotherapy']"
"['behavioral issue', 'valproate']"
"['somnolence', 'ativan']"
"['apenea', 'ativan']"
"['delirium', 'depakote']"
"['anaphylactoid reaction', 'contrast dye']"
"['hives', 'contrast dye']"
"['periorbital/facial edema', 'contrast dye']"
"['flushing', 'contrast dye']"
"['anaphylaxis', 'contrast dye']"
"['allergic reaction', 'contrast dye']"
"['maculopapular rash', 'seizure medications']"
"['elevated eosinophil count', 'seizure medications']"
"['drug fever', 'seizure medications']"
"['tranaminitis', 'depakote']"
"['elevation in ast/alt', 'depakote']"
"['elevated ammonia', 'depakote']"
"['lft elevation', 'zonisamide']"
"['acute kidney injury', 'acyclovir']"
"['delerium', 'narcotics']"
"['thrombocytopenia', 'avastin']"
"['thrombocytopenia', 'timador']"
"['thrombocytopenia', 'timador']"
"['immunocompromised', 'steroid']"
"['tachyarrhythmnias (afib with rvr)', 'levophed']"
"['bradycardic', 'amiodarone']"
"['arf with rare eos (ain)', 'contrast dye']"
"['ain', 'zosyn']"
"['ain', 'cipro']"
"['hypoglycemia', 'ssi']"
"['hypoglycemia', 'lantus']"
"['delerium', 'steroid']"
"['angioedema', 'ace-i']"
"['allergy', 'iron supplement']"
"['angioedema', 'lisinopril']"
"['angioedema', 'lisinopril']"
"['angioedema', 'iron']"
"['total body rash', 'dilantin']"
"['rash', 'nafcillin']"
"['developed a drug rash', 'nafcillin']"
"['developed papular rash over posterior thighs and peri-rectal area', 'vancomycin']"
"['rash', 'nafcillin']"
"['adrenal insufficiency', 'steroids (hydrocort/fludrocort)']"
"['decreased her alertness', 'hydromorphone']"
"['mental status changes', 'narcotic medications']"
"['mental status changes', 'narcotics']"
"['o2 sats acutely dropped', 'narcotics']"
"['tachycardia', 'narcotics']"
"['hypoxia', 'narcotics']"
"['cta showing rll/rml', 'narcotics']"
"['foreign body crystals', 'kayexalate']"
"['foreign body crystals', 'kayexalate']"
"['bowel necrosis', 'kayexalate']"
"['neuropathy', 'taxol']"
"['hypoglycemia', 'lantus']"
"['hypotensive', 'nicardipine']"
"['anaphylactic reaction', 'contrast']"
"['renal failure', 'csa']"
"['hypotension', 'ambisome']"
"['hypotension', 'ambisome']"
"['rash', 'meropenem']"
"['rash', 'antibioitics']"
"['tumor lysis syndrome', 'steroid']"
"['psychotic paranoia', 'decadron']"
"['thrombocytopenia', 'heparin']"
"['platelet count to drop', 'heparin']"
"['esrd', 'contrast']"
"['thrombocytopenia', 'heparin']"
"['thrombocytopenia', 'heparin']"
"['hit', 'heparin']"
"['allergy', 'ace']"
"['allergy', 'asa']"
"['hyperglycemia', 'steroids']"
"['eye discharge', 'dilantin']"
"['oral sores', 'dilantin']"
"['oral sores', 'sulfate']"
"['rash', 'dilantin']"
"['rash', 'sulfate']"
"['fevers', 'dilantin']"
"['weakness', 'dilantin']"
"['diarrhea', 'dilantin']"
"['thrombocytopenia', 'heparin']"
"['increased lfts', 'dilantin']"
"['psychosis', 'steroid']"
"['constipation', 'narcotic pain medicine']"
"['stomach irritation', 'steroid medication']"
"['pe', 'oral contraceptive']"
"['coagulopathy', 'warfarin']"
"['coagulopathy', 'antibiotic']"
"['erythematous skin reaction', 'vancomycin']"
"['central apnea', 'ativan']"
"['rash', 'vancomycin']"
"['red rash on arms and face', 'vancomycin']"
"['redman syndrome', 'vancomycin']"
"['hypotension', 'nitro']"
"['airway compromise', 'ace-i']"
"['angioedema', 'ace inhibitors']"
"['severe angioedema', 'captopril']"
"['lip and tongue swelling', 'captopril']"
"['allergy', 'ace-i']"
"['thrombocytopenia', 'valproic acid']"
"['polyneuropathy', 'arava']"
"['htn', 'prednisone']"
"['dm2', 'prednisone']"
"['renal failure', 'indomethacin']"
"['arf', 'hctz']"
"['arf', 'lisinopril']"
"['acute renal failure', 'pain medications']"
"['overdose', 'narcotic']"
"['hypotension', 'narcotic']"
"['pancreatitis', 'propofol']"
"['pancreatitis', 'propofol']"
"['rash', 'cefepime']"
"['rash', 'vancomycin']"
"['eosinophilia', 'cefepime']"
"['eosinophilia', 'vancomycin']"
"['hypergylcemia', 'steroid']"
"['rigidity', 'haldol']"
"['self-limited psychosis', 'steroids']"
"['psychosis', 'steroid']"
"['paranoid', 'steroid']"
"['hallucinating', 'steroid']"
"['avascular necrosis', 'steroid']"
"['hypotension', 'celexa']"
"['ms change', 'remeron']"
"['serotonin syndrome', 'linezolid']"
"['rash', 'zosyn']"
"['hypotension', 'celexa']"
"['oversedation', 'clonazepam']"
"['osteoporosis', 'steroid']"
"['pancytopenia', 'chemo']"
"['anaphylactic reaction', 'vitamin k']"
"['anaphylactic reaction', 'vitamin k']"
"['peripheral neuropathy', 'dilantin']"
"['hyponatremia', 'trileptal']"
"['leukopenia', 'cellcept']"
"['osteoporosis', 'glucocorticoid']"
"['c diff', 'immunosuppression']"
"['inr level has been higher than optimal', 'antibiotics']"
"['leukopenia', 'flagyl']"
"['leukopenia', 'flagyl']"
"['leukopenia', 'cipro']"
"['leukopenia', 'flagyl']"
"['leukopenia', 'flagyl']"
"['leukopenia', 'mycophenolate mofetil']"
"['leukopenia', 'bactrim']"
"['leukopenia', 'valcyte']"
"['leukopenia', 'flagyl']"
"['neutropenia', 'mmf']"
"['mucositis', 'chemotherapy']"
"['supratherapeutic inr', 'coumadin']"
"['rash', 'beta lactam']"
"['morbilliform drug erruption', 'abx']"
"['severe lower back pain', 'ffp']"
"['severe lower back pain', 'ffps']"
"['ugi bleed', 'nsaid']"
"['gi bleed', 'nsaid']"
"['pud', 'nsaids']"
"['toxicity', 'nsaid']"
"['gastric ulcer', 'nsaid']"
"['duodenal bulb ulcers', 'nsaid']"
"['depressed mental status', 'sedation']"
"['intoxication', 'benzo']"
"['intoxication', 'benzo']"
"['intoxication', 'librium']"
"['changes in your mental status', 'librium']"
"['intoxication', 'librium']"
"['exacerbate her asthma', 'protonix']"
"['p-anca positive glomerulonephritis', 'hydralazine']"
"['neutropenic', 'cyclophosphamide']"
"['neutropenic', 'bactrim']"
"['neutropenic', 'fluconazole']"
"['dehydrated', 'hctz']"
"['acute pancreatitis', 'lasix']"
"['hypercapnia', 'narcotics']"
"['altered mental status', 'narcotics']"
"['sz', 'baclofen']"
"['somnolence', 'cymbalta']"
"['seizure activity', 'cymbalta']"
"['respiratory suppression', 'pain medications']"
"['sedation', 'pain medications']"
"['rash', 'antibiotics']"
"['hypotension', 'il-2']"
"['sbo', 'narcotics']"
"['arf', 'il-2']"
"['renal injury', 'il-2']"
"['swelling', 'il-2']"
"['skin breakdown', 'il-2']"
"['skin breakdown', 'pressors']"
"['skin damage', 'il-2']"
"['gastric ulcer', 'nsaids']"
"['gastric ulcer', 'nsaids']"
"['aspiration', 'anesthesia']"
"['diaphoresis', 'aspirin']"
"['chest pain', 'aspirin']"
"['shortness of breath', 'aspirin']"
"['thrombocytopenia', 'heparin']"
"['altered/persistent depressed mental status', 'benzodiazepines']"
"['bradycardia', 'nodal blocking agents']"
"['bradycardia', 'metoprolol']"
"['bradycardia', 'diltiazem']"
"['diarrhea', 'chemo']"
"['diarrhea', 'chemo']"
"['diarrhea', 'chemo']"
"['blood pressure was low', 'clonidine']"
"['blood pressure was low', 'nadolol']"
"['encephalopathy', 'oxycontin']"
"['unresponsive', 'oxycontin']"
"['altered mental status', 'opioid']"
"['overdose', 'opioid']"
"['toxicity', 'opiate']"
"['toxicity', 'opioid']"
"['lip and tongue swelling', 'acei']"
"['angioedema', 'acei']"
"['rash', 'erythromycin']"
"['itching', 'erythromycin']"
"['throat swelling', 'penicillin']"
"['anaphylaxis type reaction', 'penicillin']"
"['anaphylaxis', 'codeine']"
"['rash', 'bactrim']"
"['swelling of the lips and tongue', 'lisinopril']"
"['swelling of the lips and tongue', 'ace inhibitors']"
"['swelling of the lips and tongue', 'angiotensin converting enzyme inhibitors']"
"['allergic reaction', 'lisinopril']"
"['allergic reaction', 'angiotensin converting enzyme inhibitors']"
"['constipation', 'narcotic pain medicine']"
"['nephropathy', 'dye']"
"['hypotension', 'dye']"
"['hypotension', 'dopamine']"
"['hypotension', 'atropine']"
"['hypothyroid', 'amiodarone']"
"['hypothyroid', 'amiodarone']"
"['upper gastrointestinal bleed', 'nsaid']"
"['gastropathy', 'nsaid']"
"['stomach irriation', 'ibuprofen']"
"['ams', 'benadryl']"
"['itching', 'ffp']"
"['supratherapeutic inr', 'coumadin']"
"['gi bleed', 'coumadin']"
"['gi bleed', 'aspirin']"
"['ulcerations in stomach and duodenum', 'nsaid']"
"['ulcerations in stomach and duodenum', 'ibuprofen']"
"['sedation', 'morphine']"
"['rr<12', 'morphine']"
"['somnolent', 'percocet']"
"['sleeping excessively', 'percocet']"
"['refusing to eat', 'percocet']"
"['peripheral blood eosinophilia', 'depakote']"
"['peripheral blood and pleural fluid eosinophilia', 'divalproex']"
"['hypotension', 'gamma globulin']"
"['shaking chills', 'gamma globulin']"
"['leukocytosis', 'steroids']"
"['leukocytosis', 'prednisone']"
"['hyperglycemia', 'steroids']"
"['morbilloform drug rash', 'ceftriaxone']"
"['methemoglobinemia', 'benzocaine']"
"['bruising', 'tpa']"
"['methemoglobinemia', 'benzocaine']"
"['hematomas of the right knee, left scalp, and left clavicular area', 'tpa']"
"['hematomas of the right knee, left scalp, and left clavicular area', 'tpa']"
"['methemoglobinemia', 'benzocaine']"
"['bleeding', 'tpa']"
"['intracranial hemorhage', 'coumadin']"
"['slurred speech', 'fentanyl']"
"['narcotic induced hypercarbia', 'fentanyl']"
"['altered mental status', 'narcotics']"
"['mental status changes', 'pain medications']"
"['agitated', 'naloxone']"
"['hyperglycemia', 'steroid']"
"['respiratory depression', 'benzodiazepine']"
"['respiratory depression', 'narcotic']"
"['decreased respirations', 'narcotics']"
"['somnolence', 'narcotics']"
"['hypercarbia', 'narcotics']"
"['aiha', 'lasix']"
"['hemolytic anemia', 'lasix']"
"['infection', 'steroids']"
"['nausea', 'taxol']"
"['vomiting', 'taxol']"
"['dehydration', 'taxol']"
"['dizziness', 'taxol']"
"['altered mental status', 'benzodiazepines']"
"['vincristine toxic polyneuropathy', 'vincristine']"
"['gastric ulcers', 'nsaid']"
"['bleeding gastric ulcers', 'nsaid']"
"['gastric ulcers', 'nsaid']"
"['blood collection in your pelvis', 'blood thinners']"
"['syncope', 'flomax']"
"['syncope', 'nitroglycerin']"
"['neuroleptic malignant syndrome', 'risperidone']"
"['diarrhea', 'zosyn']"
"['thrombocytopenia', 'heparin']"
"['thrombocytopenia', 'heparin']"
"['hit', 'heparin']"
"['thrombocytopenia', 'heparin']"
"['glucose intolerance', 'steroids']"
"['drop in platelets', 'heparin']"
"['increased inr', 'vancomycin']"
"['""wheezy', 'ffp']"
"['rash', 'bactrim']"
"['confused', 'benzodiazepines']"
"['rash', 'vancomycin']"
"['fever', 'vancomycin']"
"['rash', 'vancomycin']"
"['fever', 'vancomycin']"
"['rhabdomyolysis', 'cholesterol lowering agents']"
"['anaphylaxis', 'unasyn']"
"['renal failure', 'gentamicin']"
"['acute shortness of breath', 'antibiotic']"
"['acute kidney injury', 'antibiotic']"
"['rash', 'ceftriaxone']"
"['rash', 'ceftazidime']"
"['drug fever', 'abx']"
"['rash', 'antibiotics']"
"['constipation', 'narcotics']"
"['spiking temperatures', 'ampicillin']"
"['diffuse erythematous rash', 'ampicillin']"
"['neutropenic', 'ampicillin']"
"['nephropathy', 'contrast']"
"['highly elevated (300s) sugars', 'steroids']"
"['nephropathy', 'contrast']"
"['hyperkalemia', 'spironolactone']"
"['rash', 'aspirin']"
"['redness on face', 'aspirin']"
"['redness on his face', 'asa']"
"['rash', 'asa']"
"['sedation', 'oxycodone']"
"['confusion', 'oxycodone']"
"['ams', 'narcotics']"
"['ams', 'narcotics']"
"['somnolent', 'narcotics']"
"['intracranial hemorrhage', 'anticoagulation']"
"['thrombocytopenia', 'chemo']"
"['thrombocytopenia', 'heparin']"
"['diabetes insipidus', 'lithium']"
"['thrombocytopenia', 'interferon alpha']"
"['thrombocytopenic w/nadir in 80s', 'depakote']"
"['allergy', 'penicillin']"
"['marrow suppression', 'bactrim']"
"['marrow suppression', 'linezolid']"
"['a-fib', 'meropenem']"
"['peripheral neuropathy', 'vincristine']"
"['hemorrhagic cystitis', 'cytoxan']"
"['headache', 'norvasc']"
"['constipation', 'hydromorphone (dilaudid)']"
"['ain', 'nafcillin']"
"['elevated creatinines', 'aldactone']"
"['acute renal insufficiency', 'tetracycline']"
"['acute renal insufficiency', 'diuresis']"
"['cirrhosis', 'methotrexate']"
"['hypercalcemia', 'calcium']"
"['hypercalcemia', 'vitamin d']"
"['ascites', 'mtx']"
"['diarrhea', 'chemo']"
"['rash', 'levaquin']"
"['rash', 'morphine']"
"['eyelid edema', 'levaquin']"
"['eyelid edema', 'morphine']"
"['rash', 'levaquin']"
"['rash', 'morphine']"
"['swollen eyelids', 'levaquin']"
"['swollen eyelids', 'morphine']"
"['constipated', 'narcotic']"
"['withdrawal', 'narcotic']"
"['nephropathy', 'contrast']"
"['ileus', 'narcotic']"
"['ileus', 'narcotics']"
"['angioedema', 'lisinopril']"
"['lips, tongue and face swelling and it progressivly worsened to include his throat', 'lisinopril']"
"['angioedema', 'lisinopril']"
"['swelling in your face and throat', 'lisinopril']"
"['hit', 'heparin']"
"['confusion', 'steroids']"
"['visual hallucinations', 'steroids']"
"['constipation', 'percocet']"
"['febrile neutropenia', 'lasix']"
"['febrile neutropenia', 'vancomycin']"
"['abdominal rash', 'nafcillin']"
"['drug rash', 'nafcillin']"
"['neutropenia', 'vancomycin']"
"['neutropenia', 'furosemide']"
"['neutropenia', 'vancomycin']"
"['neutropenia', 'furosemide']"
"['neutropenic', 'seroquel']"
"['rash', 'nafcillin']"
"['low cell counts', 'vancomyocin']"
"['decreased white blood cells (wbc)', 'lasix']"
"['decreased white blood cells (wbc)', 'vancomycin']"
"['neutropenia', 'lasix']"
"['rash', 'nafcillin']"
"['neutropenia', 'vancomycin']"
"['drowsy', 'narcotic pain medication']"
"['rr went down to 8', 'morphine']"
"['hypoxia', 'morphine']"
"['atelectasis', 'morphine']"
"['low rr', 'morphine']"
"['dehydration', 'bowel prep']"
"['diarrhea', 'chemotherapy']"
"['angioedema', 'naproxen']"
"['angioedema', 'lisinopril']"
"['angioedema', 'naprosyn']"
"['acute kidney failure', 'pantoprazole']"
"['acute kidney failure', 'cardiac catheterization dye']"
"['eps', 'reglan']"
"['acute on chronic renal failure', 'contraste dye']"
"['diarrhea', 'bblocker']"
"['nausea', 'bblocker']"
"['nephropathy', 'contrast']"
"['anasarca', 'gemzar']"
"['fatigue', 'gemzar']"
"['aching', 'gemzar']"
"['nausea', 'gemzar']"
"['cr plateauing at 1.9', 'nafcillin']"
"['acute interstitial nephritis', 'nafcillin']"
"['anaphylactic reaction', 'amoxicillin']"
"['pruritis', 'amoxicillin']"
"['pruritis', 'bactrim']"
"['facial erythema/edema', 'amoxicillin']"
"['facial erythema/edema', 'bactrim']"
"['anaphylactic exposure', 'bactrim']"
"['nausea', 'amoxicillin']"
"['vomiting', 'amoxicillin']"
"['diarrhea', 'amoxicillin']"
"['fever', 'amoxicillin']"
"['chills', 'amoxicillin']"
"['anaphylaxis', 'amoxicillin']"
"['hypotensive', 'diltiazem']"
"['supratherapeutic inr', 'coumadin']"
"['supratherapeutic inr', 'plavix']"
"['thrombocytopenia', 'heparin']"
"['anaphylaxis', 'percocet']"
"['antibody pulmonary embolism', 'heparin']"
"['thrush', 'chemotherapy']"
"['methemoglobinemia', 'rasburicase']"
"['hypoglycemic', 'iss']"
"['pruritus', 'cefepime']"
"['agitated pruritus', 'cefepime']"
"['abdominal wall hematoma', 'lovenox']"
"['hematoma', 'anticoagulation']"
"['gi bleed (extensive)', 'anticoagulated']"
"['abdominal wall hematoma', 'anticoagulated']"
"['vagnitis', 'antibiotic']"
"['gib', 'anticoagulation']"
"['gib', 'anticoagulated']"
"['gib', 'anticoagulation']"
"['hematoma', 'enoxaparin']"
"['gib', 'anticoagulation']"
"['large abdominal wall hematoma', 'lovenox']"
"['rectus hematoma', 'anticoagulation']"
"['hematoma', 'anticoagulation']"
"['upper gastrointestinal bleed', 'aspirin']"
"['upper gastrointestinal bleed', 'plavix']"
"['upper gastrointestinal bleed', 'relafen']"
"['gi bleed', 'aspirin']"
"['gi bleed', 'plavix']"
"['gi bleed', 'relafen']"
"['drug rash', 'vancomycin']"
"['rash', 'vancomycin']"
"['leukocyutosis', 'prednisone']"
"['hypoglycemia', 'antihypoglycemic medications']"
"['dementia', 'benadryl']"
"['dementia', 'neurontin']"
"['end-stage renal disease', 'lithium']"
"['hyperparathyroidism with hypercalcemia', 'lithium']"
"['end-stage kidney disease', 'lithium']"
"['severe skin rash', 'zosyn']"
"['allergic reaction', 'pipericillin']"
"['severe rash', 'pipericillin']"
"['renal failure', 'pipericillin']"
"['neutropenia', 'chemotherapy']"
"['neutropenic fever', 'chemotherapy']"
"['toxicity', 'clofarabine']"
"['bradycardia', 'beta blocker']"
"['bradycardia', 'metoprolol']"
"['hypotension', 'pneumovax']"
"['hypotension', 'beta blocker']"
"['low blood pressure', 'pneumovax']"
"['heart rate was low', 'beta blocker']"
"['diarrhea', 'antibiotics']"
"['itching', 'morphine']"
"['itching', 'morphine']"
"['effusion', 'nsaid']"
"['acute renal failure', 'nsaid']"
"['confused', 'oxycodone -acetaminophen']"
"['somnolent', 'oxycodone -acetaminophen']"
"['altered mental status', 'opioids']"
"['cri', 'lithium']"
"['ams', 'methadone']"
"['decreased respiratory rate', 'methadone']"
"['overdose', 'methadone']"
"['restless leg syndrome', 'methadone']"
"['overdosed', 'methadone']"
"['hyperglycemia', 'steroids']"
"['allergy', 'sulfa']"
"['hcv', 'blood']"
"['thrush', 'staeroids']"
"['hyperglycemia', 'steroid']"
"['hyperglycemia', 'steroid']"
"['hyperglycemia', 'steroid']"
"['bradycardia', 'metoprolol']"
"['bradycardia', 'cardizem']"
"['presyncope', 'beta blocker']"
"['presyncope', 'ccb']"
"['presyncope', 'dofetilide']"
"['bradycardia', 'dofetilide']"
"['bradycardia', 'ccb']"
"['bradycardia', 'beta blocker']"
"['sinus bradycardia', 'dofetelide']"
"['sinus bradycardia', 'metoprolol']"
"['sinus bradycardia', 'cardizem']"
"['hyperkalemia', 'bactrim']"
"['hyperkalemia', 'synercid']"
"['hyponatremia', 'diuretic']"
"['hyponatremia', 'hctz/triamtrene']"
"['severe hyponatremia', 'thiazide diuretic']"
"['severe hyponatremia', 'thiazide diuretic']"
"['neurogenic bladder', 'benadryl']"
"['hyponatremia', 'thiazide']"
"['nsvt', 'dopamine']"
"['supratherapeutic', 'coumadin']"
"['delirium', 'benzodiazepines']"
"['urticarial rash', 'cipro']"
"['rash', 'zosyn']"
"['maculopapular rash', 'zosyn']"
"['fever', 'haldol']"
"['neuroleptic malignant syndrome', 'haldol']"
"['hyponatremia', 'trileptal']"
"['hyponatremia', 'hctz']"
"['drug rash', 'zosyn']"
"['hypotensive', 'fentanyl']"
"['hypotensive', 'versed']"
"['diarrhea', '5fu']"
"['fluid retention', 'florinef']"
"['mental status change', 'sedation']"
"['somnolent', 'sedation']"
"['supratherapeutic ptt', 'heparin']"
"['sedation', 'morphine']"
"['rr< 12', 'morphine']"
"['supratherapeutic inr', 'antibiotics']"
"['hypotension', 'minoxidil']"
"['hypoglycemia', 'insulin']"
"['irritated the lining of your stomach', 'motrin']"
"['sedated', 'benadryl']"
"['somnolence', 'benadryl']"
"['rash', 'erlotinib']"
"['white blood cell count to be low', 'linezolid']"
"['worsening renal function', 'vancomycin']"
"[""patient's creatinine began to rise"", 'vancomycin']"
"['toxicity', 'vancomycin']"
"['hives', 'aspirin']"
"['profuse vomiting', 'aspirin']"
"['allergy', 'aspirin']"
"['drowsy', 'pain medication']"
"['hypotensive', 'levophed']"
"['withdrawal', 'benzodiazepine']"
"['withdrawal', 'benzodiazepines']"
"['withdrawal', 'benzodiazepine']"
"['sbp dropped to 80s systolic', 'valium']"
